year,parent_entity,Stock Ticker,US_Company,parent_type,reporting_entity,commodity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,own_fuel_use_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,total_operational_emissions_MtCO2e,total_emissions_MtCO2e,source
2020,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Sub-Bituminous Coal,47.44624876,Million tonnes/yr,86.07449116,0,0,0,9.723776305,9.723776305,95.79826746,"Arch Resources Form 10-K for 2021, page 16."
2019,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,6.803955368,Million tonnes/yr,18.13592693,0,0,0,2.048803243,2.048803243,20.18473018,"Arch Resources Form 10-K for 2021, page 16."
2019,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,3.719495601,Million tonnes/yr,7.918527183,0,0,0,0.894550592,0.894550592,8.813077775,"Arch Resources Form 10-K for 2021, page 16."
2019,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,67.67667606,Million tonnes/yr,122.7754692,0,0,0,13.86986066,13.86986066,136.6453299,"Arch Resources Form 10-K for 2021, page 16."
2018,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,72.16002905,Million tonnes/yr,130.9089326,0,0,0,14.78869244,14.78869244,145.6976251,"Arch Coal Form 10-K for 2018, page 56."
2018,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,7.028032298,Million tonnes/yr,18.73320346,0,0,0,2.116277163,2.116277163,20.84948062,"Arch Coal Form 10-K for 2018, page 56."
2018,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.245486711,Million tonnes/yr,17.55402282,0,0,0,1.983065934,1.983065934,19.53708876,"Arch Coal Form 10-K for 2018, page 56."
2017,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,73.12346913,Million tonnes/yr,132.656755,0,0,0,14.98614274,14.98614274,147.6428977,"Arch Coal Form 10-K for 2018, page 56."
2017,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,7.431733649,Million tonnes/yr,19.80926846,0,0,0,2.237839488,2.237839488,22.04710795,"Arch Coal Form 10-K for 2018, page 56."
2017,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.350721221,Million tonnes/yr,17.7780592,0,0,0,2.00837517,2.00837517,19.78643437,"Arch Coal Form 10-K for 2018, page 56."
2016,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,87.52880343,Million tonnes/yr,158.7901555,0,0,0,17.93841509,17.93841509,176.7285705,"EIA Annual Coal report for 2016, Table 10"
2015,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,98.41331763,Million tonnes/yr,178.5362691,0,0,0,20.16912003,20.16912003,198.7053892,"Arch Coal 2015 Form 10-K, March. Operational Performance on p. 64."
2015,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,10.81919623,Million tonnes/yr,28.83854195,0,0,0,3.25787033,3.25787033,32.09641228,"Arch Coal 2015 Form 10-K, March. Operational Performance on p. 64."
2015,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,6.554477004,Million tonnes/yr,13.95398998,0,0,0,1.576372689,1.576372689,15.53036266,"Arch Coal 2015 Form 10-K, March. Operational Performance on p. 64."
2014,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,100.8400617,Million tonnes/yr,182.9387407,0,0,0,20.66646422,20.66646422,203.6052049,"Arch Coal 2015 Form 10-K, March. Operational Performance on p. 64."
2014,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,13.13979861,Million tonnes/yr,35.02410209,0,0,0,3.956648822,3.956648822,38.98075092,"Arch Coal 2015 Form 10-K, March. Operational Performance on p. 64."
2014,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,7.910732107,Million tonnes/yr,16.84135538,0,0,0,1.90255638,1.90255638,18.74391176,"Arch Coal 2015 Form 10-K, March. Operational Performance on p. 64."
2013,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,101.2918443,Million tonnes/yr,183.758341,0,0,0,20.75905391,20.75905391,204.5173949,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2013,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,12.90392815,Million tonnes/yr,34.39538996,0,0,0,3.885623643,3.885623643,38.2810136,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2013,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,7.640388281,Million tonnes/yr,16.26581364,0,0,0,1.837537825,1.837537825,18.10335147,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2012,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,94.70561555,Million tonnes/yr,171.8099509,0,0,0,19.40925246,19.40925246,191.2192033,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2012,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,16.97995102,Million tonnes/yr,45.26001926,0,0,0,5.112993372,5.112993372,50.37301263,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2012,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.001451512,Million tonnes/yr,17.03449018,0,0,0,1.924374688,1.924374688,18.95886487,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2011,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,106.9091899,Million tonnes/yr,193.9490341,0,0,0,21.91028953,21.91028953,215.8593237,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2011,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,18.93676858,Million tonnes/yr,50.47591184,0,0,0,5.702229185,5.702229185,56.17814103,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2011,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,6.306813029,Million tonnes/yr,13.42673195,0,0,0,1.516808711,1.516808711,14.94354066,"Arch Coal 2013 Annual Report & Form 10-K, page 60."
2010,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,16.26716695,Million tonnes/yr,43.360095,0,0,0,4.898360231,4.898360231,48.25845524,"Arch Coal Annual Rpt 2010, pg55."
2010,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,10.05385022,Million tonnes/yr,21.40389312,0,0,0,2.417983144,2.417983144,23.82187626,"Arch Coal Annual Rpt 2010, pg55."
2010,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,121.3366078,Million tonnes/yr,220.1224976,0,0,0,24.86708777,24.86708777,244.9895854,"Arch Coal Annual Rpt 2010, pg55."
2009,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,12.6045233,Million tonnes/yr,33.59732703,0,0,0,3.795467021,3.795467021,37.39279405,"Arch Coal Annual Rpt 2010, pg55."
2009,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,7.790169599,Million tonnes/yr,16.58468684,0,0,0,1.873560711,1.873560711,18.45824755,"Arch Coal Annual Rpt 2010, pg55."
2009,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,94.01699176,Million tonnes/yr,170.5606858,0,0,0,19.26812384,19.26812384,189.8288096,"Arch Coal Annual Rpt 2010, pg55."
2008,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,13.95216668,Million tonnes/yr,37.18946728,0,0,0,4.201268644,4.201268644,41.39073592,"Arch Coal Annual Rpt 2010, pg55."
2008,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.623074599,Million tonnes/yr,18.35787912,0,0,0,2.073877029,2.073877029,20.43175614,"Arch Coal Annual Rpt 2010, pg55."
2008,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,104.0690479,Million tonnes/yr,188.7965978,0,0,0,21.32822233,21.32822233,210.1248201,"Arch Coal Annual Rpt 2010, pg55."
2007,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,13.4924248,Million tonnes/yr,35.96402637,0,0,0,4.062831424,4.062831424,40.0268578,Arch Coal Annual Rpt 2008.
2007,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.338933172,Million tonnes/yr,17.75296333,0,0,0,2.005540106,2.005540106,19.75850343,Arch Coal Annual Rpt 2008.
2007,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,100.6398386,Million tonnes/yr,182.5755065,0,0,0,20.62542991,20.62542991,203.2009364,Arch Coal Annual Rpt 2008.
2006,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,13.4924248,Million tonnes/yr,35.96402637,0,0,0,4.062831424,4.062831424,40.0268578,Arch Coal Annual Rpt 2008.
2006,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.338933172,Million tonnes/yr,17.75296333,0,0,0,2.005540106,2.005540106,19.75850343,Arch Coal Annual Rpt 2008.
2006,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,100.6398386,Million tonnes/yr,182.5755065,0,0,0,20.62542991,20.62542991,203.2009364,Arch Coal Annual Rpt 2008.
2005,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,14.01213301,Million tonnes/yr,37.34930738,0,0,0,4.21932567,4.21932567,41.56863305,Arch Coal Annual Rpt 2006.
2005,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,8.660136524,Million tonnes/yr,18.43678117,0,0,0,2.08279054,2.08279054,20.51957171,Arch Coal Annual Rpt 2006.
2005,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,104.5163361,Million tonnes/yr,189.6080446,0,0,0,21.41989092,21.41989092,211.0279355,Arch Coal Annual Rpt 2006.
2004,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,12.30309254,Million tonnes/yr,32.79386405,0,0,0,3.704700358,3.704700358,36.4985644,Arch Coal Annual Rpt 2006.
2004,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,7.603871655,Million tonnes/yr,16.18807249,0,0,0,1.82875546,1.82875546,18.01682795,Arch Coal Annual Rpt 2006.
2004,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,91.76862326,Million tonnes/yr,166.4818138,0,0,0,18.80733646,18.80733646,185.2891503,Arch Coal Annual Rpt 2006.
2003,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,10.76695499,Million tonnes/yr,28.69929304,0,0,0,3.242139476,3.242139476,31.94143252,Various Keystone Coal Industry Manuals.
2003,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,6.654468671,Million tonnes/yr,14.16686473,0,0,0,1.600421005,1.600421005,15.76728574,Various Keystone Coal Industry Manuals.
2003,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,80.31059124,Million tonnes/yr,145.6952542,0,0,0,16.45909307,16.45909307,162.1543473,Various Keystone Coal Industry Manuals.
2003,Arch Resources,ARCH,1,Investor-owned Company,Vulcan Coal,Thermal Coal,37.63040915,Million tonnes/yr,80.11231892,0,0,0,9.050233791,9.050233791,89.16255271,Keystone Coal Industry Manual for 2002
2002,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,11.06878552,Million tonnes/yr,29.50382162,0,0,0,3.333026519,3.333026519,32.83684814,Various Keystone Coal Industry Manuals.
2002,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,6.841013695,Million tonnes/yr,14.5640051,0,0,0,1.64528568,1.64528568,16.20929078,Various Keystone Coal Industry Manuals.
2002,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,82.5619417,Million tonnes/yr,149.7795359,0,0,0,16.92049157,16.92049157,166.7000275,Various Keystone Coal Industry Manuals.
2002,Arch Resources,ARCH,1,Investor-owned Company,Vulcan Coal,Thermal Coal,38.29266081,Million tonnes/yr,81.52220303,0,0,0,9.209507433,9.209507433,90.73171046,Keystone Coal Industry Manual for 2002
2001,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,11.63946512,Million tonnes/yr,31.02496674,0,0,0,3.504869241,3.504869241,34.52983598,Various Keystone Coal Industry Manuals.
2001,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,7.193719683,Million tonnes/yr,15.3148897,0,0,0,1.730112598,1.730112598,17.0450023,Various Keystone Coal Industry Manuals.
2001,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,86.81863414,Million tonnes/yr,157.5018036,0,0,0,17.79287087,17.79287087,175.2946745,Various Keystone Coal Industry Manuals.
2001,Arch Resources,ARCH,1,Investor-owned Company,Vulcan Coal,Thermal Coal,39.04563187,Million tonnes/yr,83.12522194,0,0,0,9.390599382,9.390599382,92.51582133,Keystone Coal Industry Manual for 2002
2000,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,10.86789831,Million tonnes/yr,28.96835725,0,0,0,3.272535475,3.272535475,32.24089272,Various Keystone Coal Industry Manuals.
2000,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,6.716856245,Million tonnes/yr,14.2996832,0,0,0,1.615425416,1.615425416,15.91510862,Various Keystone Coal Industry Manuals.
2000,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,81.06352633,Million tonnes/yr,147.0611895,0,0,0,16.61340184,16.61340184,163.6745913,Various Keystone Coal Industry Manuals.
2000,Arch Resources,ARCH,1,Investor-owned Company,Vulcan Coal,Thermal Coal,29.97369138,Million tonnes/yr,63.81174101,0,0,0,7.208768671,7.208768671,71.02050968,"Keystone Coal Industry Manual for 2000, p.22."
1999,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,10.86889775,Million tonnes/yr,28.97102124,0,0,0,3.272836425,3.272836425,32.24385767,Various Keystone Coal Industry Manuals.
1999,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,6.717473944,Million tonnes/yr,14.30099824,0,0,0,1.615573975,1.615573975,15.91657221,Various Keystone Coal Industry Manuals.
1999,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,81.07098113,Million tonnes/yr,147.0747136,0,0,0,16.61492965,16.61492965,163.6896433,Various Keystone Coal Industry Manuals.
1999,Arch Resources,ARCH,1,Investor-owned Company,Vulcan Coal,Thermal Coal,21.54585866,Million tonnes/yr,45.86951722,0,0,0,5.18184794,5.18184794,51.05136516,"Keystone Coal Industry Manual for 2000, p.22."
1998,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,8.881013832,Million tonnes/yr,23.67232136,0,0,0,2.674245928,2.674245928,26.34656729,Various Keystone Coal Industry Manuals.
1998,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,5.488871123,Million tonnes/yr,11.68539497,0,0,0,1.320091066,1.320091066,13.00548604,Various Keystone Coal Industry Manuals.
1998,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,66.24337824,Million tonnes/yr,120.1752556,0,0,0,13.57611631,13.57611631,133.751372,Various Keystone Coal Industry Manuals.
1998,Arch Resources,ARCH,1,Investor-owned Company,Vulcan Coal,Thermal Coal,15.69445705,Million tonnes/yr,33.41232202,0,0,0,3.774567131,3.774567131,37.18688915,"Keystone Coal Industry Manual for 2000, p.22."
1997,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Metallurgical Coal,2.605537144,Million tonnes/yr,6.945053092,0,0,0,0.78457789,0.78457789,7.729630983,Various Keystone Coal Industry Manuals.
1997,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Thermal Coal,1.61034065,Million tonnes/yr,3.428294473,0,0,0,0.387292078,0.387292078,3.815586551,Various Keystone Coal Industry Manuals.
1997,Arch Resources,ARCH,1,Investor-owned Company,Arch Coal,Sub-Bituminous Coal,19.43467106,Million tonnes/yr,35.25735893,0,0,0,3.982999687,3.982999687,39.24035862,Various Keystone Coal Industry Manuals.
1997,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,42.08110316,Million tonnes/yr,76.34132594,0,0,0,8.624227298,8.624227298,84.96555324,"EIA Coal Industry Annual 1997, p. 23."
1996,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,18.27996009,Million tonnes/yr,38.91666408,0,0,0,4.396388884,4.396388884,43.31305297,Various Keystone Coal Industry Manuals.
1996,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,46.27869002,Million tonnes/yr,83.95636745,0,0,0,9.48449332,9.48449332,93.44086077,"EIA Coal Industry Annual 1997, p. 23."
1995,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,22.01759957,Million tonnes/yr,46.87381823,0,0,0,5.295303137,5.295303137,52.16912137,Various Keystone Coal Industry Manuals.
1995,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,41.4805407,Million tonnes/yr,75.25181709,0,0,0,8.501146229,8.501146229,83.75296332,"EIA Coal Industry Annual 1995, p. 24."
1994,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,20.78381566,Million tonnes/yr,44.24718482,0,0,0,4.99857416,4.99857416,49.24575898,Various Keystone Coal Industry Manuals.
1994,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,34.8788896,Million tonnes/yr,63.2754486,0,0,0,7.148184084,7.148184084,70.42363268,"EIA Coal Industry Annual 1994, p. 23."
1993,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,13.60791074,Million tonnes/yr,28.9702214,0,0,0,3.272746067,3.272746067,32.24296747,Various Keystone Coal Industry Manuals.
1993,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,43.31397987,Million tonnes/yr,78.57794609,0,0,0,8.876896743,8.876896743,87.45484283,"ARCO annual report 1993, Highlights"
1992,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,18.23460038,Million tonnes/yr,38.82009668,0,0,0,4.38547973,4.38547973,43.20557641,Various Keystone Coal Industry Manuals.
1992,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,36.0990656,Million tonnes/yr,65.48902777,0,0,0,7.398250607,7.398250607,72.88727837,"Atlantic Richfield Annural Report for 1992, p. 1."
1991,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,16.87380931,Million tonnes/yr,35.92307454,0,0,0,4.058205123,4.058205123,39.98127966,Various Keystone Coal Industry Manuals.
1991,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,37.70207748,Million tonnes/yr,68.39712769,0,0,0,7.726776663,7.726776663,76.12390435,"Atlantic Richfield Annural Report for 1992, p. 1."
1990,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,21.22834075,Million tonnes/yr,45.19354539,0,0,0,5.105483865,5.105483865,50.29902925,Various Keystone Coal Industry Manuals.
1990,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,34.70561554,Million tonnes/yr,62.9611039,0,0,0,7.112672779,7.112672779,70.07377667,"Atlantic Richfield Annural Report for 1992, p. 1."
1989,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,17.14596753,Million tonnes/yr,36.50247897,0,0,0,4.123660045,4.123660045,40.62613901,Various Keystone Coal Industry Manuals.
1989,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,35.78608365,Million tonnes/yr,64.92123236,0,0,0,7.334107149,7.334107149,72.25533951,"Atlantic Richfield Annural Report for 1992, p. 1."
1988,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,16.78308991,Million tonnes/yr,35.72993973,0,0,0,4.036386816,4.036386816,39.76632655,Various Keystone Coal Industry Manuals.
1988,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,29.43572531,Million tonnes/yr,53.40074598,0,0,0,6.032645693,6.032645693,59.43339167,"Atlantic Richfield Annural Report for 1992, p. 1."
1987,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,16.98993015,Million tonnes/yr,36.17028709,0,0,0,4.086132556,4.086132556,40.25641965,Various Keystone Coal Industry Manuals.
1987,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,23.71405244,Million tonnes/yr,43.02078774,0,0,0,4.860028922,4.860028922,47.88081666,"ARCO (1988) Annual Report 1987, p. 60."
1986,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.88424204,Million tonnes/yr,25.30066002,0,0,0,2.858198232,2.858198232,28.15885826,Various Keystone Coal Industry Manuals.
1986,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,24.63031843,Million tonnes/yr,44.68302935,0,0,0,5.047811218,5.047811218,49.73084057,"ARCO (1988) Annual Report 1987, p. 60."
1985,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.81257371,Million tonnes/yr,25.14808353,0,0,0,2.840961769,2.840961769,27.98904529,No source as data is interpolated
1985,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,27.00716684,Million tonnes/yr,48.99498283,0,0,0,5.534929648,5.534929648,54.52991247,"ARCO (1988) Annual Report 1987, p. 60."
1984,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.74090538,Million tonnes/yr,24.99550703,0,0,0,2.823725307,2.823725307,27.81923233,No source as data is interpolated
1984,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,23.89549125,Million tonnes/yr,43.34994449,0,0,0,4.897213535,4.897213535,48.24715803,"ARCO (1988) Annual Report 1987, p. 60."
1983,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.66923705,Million tonnes/yr,24.84293053,0,0,0,2.806488844,2.806488844,27.64941937,No source as data is interpolated
1983,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,17.05524812,Million tonnes/yr,30.94073487,0,0,0,3.495353624,3.495353624,34.4360885,ARCO annual report 1983.
1982,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.59756872,Million tonnes/yr,24.69035403,0,0,0,2.789252382,2.789252382,27.47960641,No source as data is interpolated
1982,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,17.45350631,Million tonnes/yr,31.66323395,0,0,0,3.57697385,3.57697385,35.2402078,ARCO annual report 1983.
1981,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.52590039,Million tonnes/yr,24.53777753,0,0,0,2.772015919,2.772015919,27.30979345,Various Keystone Coal Industry Manuals.
1981,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,14.36541777,Million tonnes/yr,26.06098599,0,0,0,2.944091736,2.944091736,29.00507773,ARCO annual report 1983.
1980,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,14.34999547,Million tonnes/yr,30.55006414,0,0,0,3.451219819,3.451219819,34.00128396,Various Keystone Coal Industry Manuals.
1980,Arch Resources,ARCH,1,Investor-owned Company,ARCO Coal,Sub-Bituminous Coal,10.0616892,Million tonnes/yr,18.25338779,0,0,0,2.062072715,2.062072715,20.31546051,Keystone Manual
1979,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.43064502,Million tonnes/yr,24.33498598,0,0,0,2.749106696,2.749106696,27.08409267,Various Keystone Coal Industry Manuals.
1978,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.71687381,Million tonnes/yr,24.94434561,0,0,0,2.817945637,2.817945637,27.76229125,Various Keystone Coal Industry Manuals.
1977,Arch Resources,ARCH,1,Investor-owned Company,Arch Mineral,Thermal Coal,11.43064502,Million tonnes/yr,24.33498598,0,0,0,2.749106696,2.749106696,27.08409267,Various Keystone Coal Industry Manuals.
